transaction_id,card_id,timestamp,amount,merchant,transaction_type,location,is_fraud
104,2275170284006520,2025-04-17 11:10:17,3205.35,McDonalds,atm,Ganja,0
105,3522239507603345,2025-03-05 19:14:34,524.04,AliExpress,pos,Sumqayit,0
106,4532675926902907,2025-05-14 09:22:22,2732.41,McDonalds,online,Shirvan,0
107,6011200580001998,2025-01-29 16:18:25,4914.96,McDonalds,atm,Sheki,0
108,4066953258386120,2025-03-21 04:17:32,3192.18,AliExpress,atm,Sheki,0
109,3516637636376915,2025-06-12 06:05:44,3396.91,Uber,pos,Sheki,0
110,4858099734095618024,2025-05-19 13:02:17,3175.69,McDonalds,atm,Shirvan,1
111,6011666179722576,2025-03-21 19:50:49,4656.64,Amazon,pos,Sumqayit,0
112,4815525780342955,2025-02-27 11:39:30,4090.77,Amazon,atm,Ganja,0
113,6011486064635225,2025-01-22 10:01:49,4372.54,Starbucks,online,Sheki,1
114,3520696711688226,2025-01-30 16:53:00,2915.16,Walmart,atm,Sheki,0
115,4308275945163,2025-05-31 04:24:04,332.73,Amazon,atm,Baku,0
116,4585826843656784668,2025-06-07 20:35:05,332.71,McDonalds,online,Sumqayit,0
117,5520998139981497,2025-02-02 17:54:23,77.41,AliExpress,pos,Ganja,0
118,6011001575175940,2025-05-10 10:18:44,4003.43,Walmart,pos,Sumqayit,0
119,30328818202862,2025-04-29 02:40:12,2525.49,Starbucks,atm,Baku,0
120,4764092627906196,2025-03-20 16:18:51,2869.79,Walmart,atm,Shirvan,0
121,348707914878674,2025-02-21 12:25:12,4952.67,Walmart,pos,Ganja,0
122,4852492711769687,2025-01-18 21:52:34,1449.03,Starbucks,pos,Sheki,0
123,4314251202983006890,2025-04-06 05:10:29,4227.61,AliExpress,atm,Shirvan,1
124,3578551033744309,2025-04-07 05:48:18,1168.62,Amazon,atm,Baku,0
125,371149635623438,2025-05-25 03:46:44,3703.99,Uber,atm,Shirvan,0
126,30546921658734,2025-05-08 10:01:44,1273.04,Amazon,pos,Sumqayit,0
127,3556456417417256,2025-02-17 06:56:29,4714.79,Uber,pos,Sheki,0
128,3557316678799363,2025-04-08 12:31:30,4050.38,Amazon,online,Ganja,0
129,4358017563609061433,2025-05-21 20:44:55,1195.52,Walmart,pos,Baku,0
130,341250300680211,2025-06-09 12:29:37,4709.37,AliExpress,pos,Ganja,0
131,3517308961823363,2025-03-16 03:55:06,2459.66,Starbucks,atm,Baku,0
132,30063609409554,2025-06-10 14:27:47,3368.05,McDonalds,pos,Sheki,0
133,372981411402929,2025-03-15 13:50:37,176.86,AliExpress,pos,Sheki,0
134,4368818171875,2025-04-02 05:25:22,236.12,AliExpress,online,Baku,0
135,4852646198537350,2025-04-04 07:31:57,163.29,Starbucks,online,Sumqayit,0
136,6011708673634772,2025-01-28 09:04:19,527.36,Starbucks,atm,Sumqayit,0
137,4457928134814,2025-01-12 10:56:44,975.67,AliExpress,online,Baku,0
138,4059276367326053,2025-05-28 13:06:40,3050.99,AliExpress,atm,Sumqayit,0
139,4528899629793977,2025-01-07 09:21:27,3252.71,Walmart,atm,Shirvan,0
140,4958300023798,2025-02-13 11:54:24,1482.64,McDonalds,pos,Sumqayit,0
141,4864573258576753,2025-06-14 06:37:37,4584.52,Walmart,online,Shirvan,1
142,30123126783509,2025-01-05 03:09:47,4302.3,McDonalds,online,Sheki,0
143,6011169968302874,2025-03-01 22:19:43,2223.45,McDonalds,pos,Sumqayit,0
144,6011197036954103,2025-05-30 00:10:10,3948.0,Amazon,online,Baku,1
145,4985274197431,2025-03-16 07:35:32,2431.34,Amazon,atm,Shirvan,1
146,6539410259971875,2025-03-26 09:50:44,2859.41,McDonalds,online,Baku,0
147,370169220163047,2025-02-21 07:06:09,3881.94,Walmart,atm,Shirvan,0
148,6011545938805882,2025-01-03 17:01:45,2101.14,Uber,online,Ganja,0
149,4045251986149183,2025-01-15 13:54:28,2130.43,Starbucks,pos,Baku,0
150,3570835183236390,2025-05-16 14:41:48,4678.84,AliExpress,online,Baku,1
151,3552458337524801,2025-01-17 04:07:20,2076.39,McDonalds,atm,Baku,0
152,4450190412438851,2025-03-29 04:54:33,3956.92,AliExpress,atm,Sheki,0
153,2388611975243645,2025-01-07 02:04:40,151.64,Uber,atm,Sumqayit,0
154,501841558403,2025-06-02 02:20:22,393.61,Amazon,online,Sumqayit,0
155,3582490664934588,2025-04-06 01:13:35,3459.18,Uber,pos,Ganja,0
156,30165280376034,2025-01-16 17:57:31,50.81,McDonalds,pos,Baku,0
157,4227058618374466709,2025-02-01 21:22:40,2983.35,McDonalds,online,Baku,0
158,3533234228480237,2025-06-09 08:25:22,1024.75,Walmart,atm,Baku,0
159,3523829238407302,2025-03-22 00:15:01,3740.14,Uber,pos,Baku,0
160,4863688712180108,2025-05-26 00:41:57,4664.01,McDonalds,online,Ganja,0
161,4746564129330,2025-01-09 19:19:39,2270.79,AliExpress,pos,Sumqayit,0
162,676117372984,2025-02-26 03:33:29,651.66,McDonalds,pos,Sumqayit,0
163,676225554846,2025-01-26 22:42:12,2367.38,Uber,pos,Shirvan,0
164,675939657473,2025-01-28 01:17:18,3179.94,McDonalds,atm,Baku,0
165,30455966968497,2025-06-13 18:02:33,513.8,Starbucks,pos,Ganja,0
166,4634828298887,2025-06-12 08:57:02,1883.57,McDonalds,online,Ganja,0
167,4546478034710393,2025-01-21 01:00:44,1580.14,McDonalds,online,Ganja,0
168,4329259400092436756,2025-03-10 21:06:21,1456.01,AliExpress,atm,Baku,0
169,2716102098453637,2025-03-03 23:53:53,4305.01,Starbucks,online,Sheki,1
170,4729986930069028,2025-04-08 13:38:57,390.53,Amazon,online,Sheki,0
171,2345930525477954,2025-02-22 08:18:31,1497.63,AliExpress,atm,Ganja,0
172,4721848697629626,2025-05-14 06:14:03,2955.79,Uber,atm,Sumqayit,0
173,4912741644158816,2025-01-02 13:38:29,423.69,AliExpress,atm,Sumqayit,0
174,676202166705,2025-03-02 20:01:57,3185.59,Starbucks,online,Sheki,0
175,4169303600962846,2025-03-20 23:20:16,2043.72,AliExpress,atm,Sumqayit,0
176,6011782823921975,2025-02-25 21:17:02,2207.05,Uber,pos,Sheki,0
177,4360081042282150521,2025-03-06 03:08:46,456.19,McDonalds,online,Sumqayit,0
178,3515347577881151,2025-03-27 04:45:15,561.68,Starbucks,atm,Ganja,0
179,6587868132685213,2025-01-28 19:14:11,3978.49,AliExpress,pos,Ganja,0
180,4691184945769592,2025-04-01 15:12:17,3838.44,AliExpress,online,Ganja,0
181,180038065580393,2025-01-15 22:35:56,4797.7,Uber,atm,Ganja,0
182,30156938088105,2025-04-21 15:56:59,1777.48,Walmart,atm,Baku,0
183,345254776037522,2025-01-09 11:37:22,2416.96,McDonalds,pos,Baku,0
184,3582649730799297,2025-03-27 18:22:41,4151.04,AliExpress,atm,Sheki,0
185,376928663564332,2025-02-19 12:00:05,39.88,Uber,online,Sumqayit,0
186,4739592532484,2025-02-03 14:07:27,2726.5,McDonalds,pos,Sheki,0
187,213177329593189,2025-04-07 10:56:40,463.67,AliExpress,online,Shirvan,0
188,4648356500332,2025-04-28 06:27:34,3810.21,Uber,atm,Baku,0
189,4148476560105246,2025-04-30 10:03:13,605.04,Walmart,online,Baku,0
190,3548675311180980,2025-03-06 06:15:03,1283.62,Starbucks,atm,Sheki,0
191,3593001419629980,2025-02-08 09:59:00,2223.48,Walmart,pos,Sumqayit,0
192,4229322347429431262,2025-02-05 08:10:04,1417.7,Walmart,online,Shirvan,0
193,4587241949306,2025-01-28 20:25:56,427.21,Amazon,pos,Sumqayit,0
194,4622780853278,2025-03-03 11:29:21,2668.66,Amazon,atm,Ganja,0
195,4343157458943483,2025-03-18 05:01:23,4453.6,McDonalds,online,Sheki,1
196,2227191827264839,2025-05-28 20:13:46,4304.84,Uber,atm,Ganja,0
197,4475680566828924,2025-05-08 09:28:35,2870.34,Walmart,online,Shirvan,0
198,579789637363,2025-01-18 00:49:47,527.43,Walmart,atm,Sheki,0
199,2706187203331960,2025-03-20 22:23:33,3707.39,Uber,pos,Sheki,0
200,2703833713182939,2025-04-17 20:17:23,1859.65,Walmart,online,Ganja,0
201,3596479055303739,2025-04-11 13:48:33,617.37,Amazon,pos,Sheki,0
202,4023771944654194,2025-01-25 04:08:54,2955.72,McDonalds,atm,Sumqayit,0
203,30599132630745,2025-01-28 22:58:52,1770.94,AliExpress,atm,Sheki,0
204,180021855153340,2025-04-12 06:05:05,1090.83,AliExpress,atm,Shirvan,0
205,3566027142839755,2025-01-31 03:57:51,1591.88,Walmart,online,Sheki,0
206,3596431227862043,2025-05-26 15:30:22,1501.63,Walmart,pos,Baku,0
207,30151173800918,2025-04-01 10:05:58,4436.79,McDonalds,online,Sumqayit,1
208,4862319827303292297,2025-05-01 12:16:14,2358.17,Amazon,atm,Baku,0
209,4141497949601272,2025-01-12 09:09:19,3434.79,Amazon,atm,Sheki,0
210,374660433192381,2025-02-11 08:38:42,33.11,Amazon,online,Shirvan,0
211,30504698825986,2025-03-17 09:19:29,19.7,Uber,atm,Sumqayit,1
212,4174344152706,2025-03-17 00:22:15,3635.77,McDonalds,online,Shirvan,0
213,4048967998320416,2025-06-13 01:36:34,1440.33,Amazon,pos,Sheki,0
214,6537748629742035,2025-03-07 19:20:03,3582.01,AliExpress,online,Sumqayit,0
215,4064593562135772568,2025-03-26 17:35:16,2109.13,Walmart,pos,Ganja,0
216,6591187210867369,2025-05-04 16:57:52,2237.01,Walmart,online,Shirvan,0
217,3560492448185020,2025-01-01 07:05:25,1581.04,McDonalds,online,Sheki,0
218,2275733597482769,2025-01-03 21:13:31,1746.49,AliExpress,pos,Sheki,0
219,5115348184118945,2025-05-24 18:55:33,1948.29,McDonalds,online,Sheki,0
220,561272274276,2025-05-17 19:49:45,4700.23,Starbucks,atm,Baku,0
221,3586011416346370,2025-05-06 06:32:05,4529.2,Amazon,online,Baku,1
222,3526096934585776,2025-05-25 13:54:14,4355.18,Uber,online,Ganja,1
223,3554223750579437,2025-01-05 01:56:10,1166.09,Uber,atm,Baku,0
224,2482369582076776,2025-03-13 09:46:48,3524.91,Starbucks,pos,Sumqayit,0
225,569317218869,2025-04-30 02:49:51,2057.75,Amazon,atm,Shirvan,0
226,4160875039467841019,2025-03-09 05:05:41,3328.48,Walmart,atm,Sheki,0
227,6563476806472666,2025-03-18 16:18:05,2905.22,AliExpress,pos,Sheki,0
228,3578546925067744,2025-01-13 18:45:55,1077.88,Uber,online,Baku,0
229,4536095227112906,2025-02-14 10:26:57,263.71,Uber,online,Sumqayit,0
230,4086624674802729,2025-01-21 16:50:37,3273.48,McDonalds,online,Sheki,1
231,4744460945710431,2025-03-30 07:26:01,3402.84,Starbucks,pos,Shirvan,0
232,4836160015044005,2025-01-07 10:14:14,4607.04,AliExpress,online,Sumqayit,0
233,3529271920821116,2025-04-28 23:16:40,3041.99,Starbucks,online,Sumqayit,0
234,4317611778281257,2025-05-22 17:26:06,1615.32,AliExpress,pos,Sumqayit,0
235,6011180831658582,2025-05-16 16:24:00,145.12,Amazon,online,Sumqayit,0
236,3543912965458502,2025-01-02 13:10:34,401.5,Starbucks,pos,Ganja,0
237,503843221774,2025-05-10 10:46:54,4186.62,Uber,atm,Sumqayit,0
238,4420255318724535,2025-05-04 06:20:46,1561.85,AliExpress,pos,Sheki,0
239,2720356146850533,2025-03-18 12:32:44,1720.36,Walmart,online,Baku,0
240,639068424048,2025-05-21 07:56:12,1529.77,Starbucks,online,Baku,0
241,2276043245812733,2025-04-21 02:02:07,2305.19,Walmart,pos,Baku,0
242,3564040092526399,2025-04-17 12:48:59,4585.82,AliExpress,pos,Sheki,0
243,4837879955517,2025-05-30 18:54:19,2201.1,Amazon,online,Ganja,0
244,630452736907,2025-05-10 12:01:39,494.55,McDonalds,pos,Ganja,0
245,4662266734121,2025-04-21 09:33:09,2203.76,Amazon,pos,Shirvan,0
246,572124264860,2025-03-04 05:19:08,3774.38,AliExpress,online,Ganja,0
247,180077149544462,2025-04-29 01:06:59,1249.39,McDonalds,online,Sumqayit,0
248,213178836460060,2025-04-18 21:01:40,4672.37,Uber,pos,Baku,0
249,2250076858787875,2025-04-23 06:26:21,2785.71,Uber,atm,Shirvan,0
250,4953461312972758,2025-06-14 06:45:12,3945.4,Walmart,pos,Sheki,0
251,30274758305846,2025-03-18 11:25:23,2570.66,AliExpress,atm,Sumqayit,0
252,213142822153006,2025-04-06 01:51:55,1363.46,Amazon,online,Shirvan,0
253,30198027929419,2025-02-28 17:35:49,3917.68,Amazon,online,Sheki,1
254,347505119144954,2025-02-05 01:09:32,1244.62,Uber,atm,Baku,0
255,676376631641,2025-04-05 10:20:59,3709.87,Starbucks,pos,Baku,0
256,6562636341275541,2025-06-05 07:48:01,609.85,Walmart,pos,Baku,0
257,30532725372185,2025-04-24 20:09:58,4855.78,Starbucks,pos,Ganja,0
258,3552152451165547,2025-03-06 17:11:49,3374.74,Walmart,atm,Sumqayit,0
259,564228273186,2025-02-20 09:51:01,1108.57,McDonalds,online,Shirvan,0
260,3506167722012168,2025-04-28 23:12:50,1538.28,Uber,online,Sumqayit,0
261,2261991346287451,2025-05-02 16:29:58,3142.93,Uber,atm,Ganja,0
262,4422138571586478,2025-06-07 01:37:58,687.3,Amazon,atm,Shirvan,0
263,503852733123,2025-05-29 11:31:55,1640.1,Starbucks,atm,Baku,0
264,36153152339854,2025-05-09 05:18:24,4060.17,AliExpress,online,Ganja,1
265,30597844099241,2025-02-08 00:04:33,2552.86,Amazon,online,Ganja,0
266,213147210788891,2025-04-20 06:50:52,3907.44,AliExpress,atm,Ganja,0
267,180065953572802,2025-05-24 09:15:28,1177.34,McDonalds,online,Sheki,0
268,30201802105435,2025-05-29 17:28:24,1767.96,Starbucks,online,Sheki,0
269,5232568956360932,2025-04-21 11:33:25,4504.15,Amazon,atm,Baku,0
270,675906231922,2025-06-02 23:14:34,2632.65,Uber,pos,Sheki,0
271,374758675484787,2025-03-06 11:36:49,1544.19,McDonalds,atm,Ganja,0
272,6564037466227326,2025-05-02 06:32:06,3304.59,AliExpress,atm,Sheki,0
273,4488292717363,2025-02-05 16:04:07,2730.6,Walmart,online,Sumqayit,0
274,5280119229355118,2025-03-15 03:23:37,688.08,AliExpress,atm,Ganja,0
275,30259839399793,2025-02-25 17:25:19,4108.66,Uber,pos,Baku,0
276,5561322445275819,2025-05-27 12:37:48,1044.11,Uber,atm,Ganja,0
277,2290035635691513,2025-04-04 12:57:05,1716.48,AliExpress,atm,Ganja,0
278,3543605521847099,2025-05-02 11:09:09,1301.27,Walmart,online,Sumqayit,0
279,4895716474060713,2025-01-26 14:20:58,85.87,Starbucks,atm,Baku,0
280,4492770952604292164,2025-05-27 23:19:39,3661.84,McDonalds,pos,Baku,0
281,180082652859216,2025-01-19 01:02:04,2456.04,Amazon,online,Ganja,0
282,4373065459478,2025-04-11 19:36:21,225.77,McDonalds,atm,Sumqayit,0
283,3547637089653953,2025-02-27 00:26:20,333.66,Amazon,pos,Sheki,0
284,4431562449260124,2025-03-17 19:04:01,680.12,McDonalds,pos,Sheki,0
285,6011193813578918,2025-05-31 01:12:53,711.13,Uber,online,Sumqayit,0
286,4999074380710095,2025-02-06 12:38:21,3640.59,Walmart,pos,Sheki,0
287,4384991258095486,2025-06-03 18:56:13,49.16,Uber,atm,Shirvan,1
288,4096515451494,2025-01-29 22:48:45,4023.2,Walmart,atm,Sheki,0
289,340960636974028,2025-05-14 23:35:59,3795.67,Starbucks,online,Sheki,0
290,3581001266923811,2025-01-06 18:56:15,4769.81,McDonalds,online,Shirvan,1
291,630464260565,2025-04-11 17:44:20,692.0,Walmart,atm,Ganja,0
292,4930678035720,2025-04-21 06:38:27,399.16,McDonalds,online,Ganja,0
293,4031455422965,2025-02-23 12:53:53,4729.84,McDonalds,atm,Shirvan,1
294,630419726363,2025-05-28 21:54:04,842.41,Amazon,pos,Shirvan,0
295,6011879509833860,2025-04-05 10:01:17,519.19,Walmart,pos,Ganja,0
296,4812240512982,2025-05-01 05:04:39,3075.07,Amazon,pos,Sumqayit,0
297,4405208379460399,2025-02-21 16:50:55,4029.67,Walmart,pos,Baku,0
298,4147540415432,2025-03-08 03:02:58,3129.2,Amazon,pos,Baku,0
299,4336184256083,2025-05-10 21:59:11,1792.47,Walmart,online,Sheki,0
300,676161438418,2025-01-21 07:22:44,1181.49,Uber,online,Sheki,0
301,180085221442745,2025-02-17 23:33:09,1688.89,AliExpress,pos,Baku,0
302,213117356451273,2025-06-08 16:02:46,1554.51,Uber,atm,Sheki,0
303,4821767594724067,2025-05-14 23:28:58,4886.66,Starbucks,atm,Shirvan,0
304,2492116341694805,2025-04-20 21:54:35,1312.97,Walmart,online,Sheki,0
305,630468533215,2025-01-23 15:42:25,1975.93,Amazon,pos,Sumqayit,0
306,213145783629922,2025-03-08 08:14:18,2480.53,Amazon,pos,Baku,0
307,4521859318178978,2025-02-25 14:59:49,1270.35,Walmart,atm,Sumqayit,0
308,343064853954172,2025-06-05 03:29:15,4974.71,McDonalds,atm,Shirvan,0
309,4174547055355566,2025-02-09 02:19:47,1702.06,Uber,online,Baku,0
310,630498469083,2025-01-24 01:43:53,2830.63,Uber,online,Shirvan,0
311,346212084353915,2025-05-29 08:02:03,3369.65,Starbucks,atm,Sumqayit,0
312,4540174632704,2025-01-31 15:35:55,813.59,McDonalds,pos,Baku,0
313,503890150330,2025-04-07 09:21:00,2925.08,Amazon,atm,Ganja,0
314,4958579803233121097,2025-04-19 16:00:57,4761.58,Uber,pos,Sumqayit,0
315,2719677609858322,2025-04-29 13:40:28,1615.69,AliExpress,atm,Sheki,0
316,4698079936484159486,2025-02-21 21:15:45,4937.37,Amazon,online,Shirvan,0
317,38194516501597,2025-01-21 11:27:43,218.96,McDonalds,pos,Baku,0
318,213190004718070,2025-05-24 20:13:06,4743.09,AliExpress,atm,Sumqayit,0
319,4844369774507,2025-05-28 07:14:21,3736.66,McDonalds,online,Shirvan,1
320,3515126745493283,2025-03-30 05:22:29,4680.45,Uber,online,Shirvan,1
321,30471128045553,2025-01-12 01:45:04,850.12,Walmart,atm,Ganja,0
322,6524708845495151,2025-06-11 00:11:41,2898.86,Starbucks,atm,Shirvan,0
323,639079259441,2025-04-06 08:48:03,3025.62,AliExpress,pos,Sumqayit,0
324,675923531064,2025-03-28 10:40:08,1425.53,AliExpress,atm,Sumqayit,0
325,6011500743271689,2025-01-11 19:49:02,4731.32,Starbucks,atm,Shirvan,0
326,4200468941579545304,2025-05-24 15:37:26,1590.33,Uber,online,Sheki,0
327,213178065083187,2025-02-17 08:27:55,3957.78,Amazon,atm,Ganja,0
328,060485239788,2025-04-06 21:41:25,3923.46,Walmart,atm,Sheki,0
329,6011742054543609,2025-01-12 12:26:19,1805.35,Amazon,atm,Sheki,0
330,4295920082921227,2025-04-17 08:43:58,3183.69,McDonalds,online,Sumqayit,0
331,4605459039055511,2025-04-22 14:11:25,2645.95,McDonalds,atm,Ganja,0
332,4516359423829281,2025-06-02 04:50:27,3154.91,Walmart,atm,Sheki,0
333,2279989192547473,2025-02-05 21:48:12,96.69,Walmart,online,Shirvan,0
334,6551524257155456,2025-06-09 02:22:26,4458.88,Uber,online,Sheki,1
